energy,time,I0,I6
2440.0188162431145,1.0,63913.5,142
2441.0188146191126,1.0,63917.5,146
2442.0188309525465,1.0,63896.5,182
2443.018862924662,1.0,63889.5,161
2444.0188619817472,1.0,63896.5,169
2445.0188719209773,1.0,63908.5,188
2446.0188904124157,1.0,63871.5,208
2447.018868729297,1.0,63869.5,190
2448.0188972665346,1.0,63886.5,221
2449.0188808428097,1.0,63891.5,249
2450.0189100616144,1.0,63909.5,242
2451.0188895182,1.0,63919.5,289
2452.0189100247817,1.0,63930.5,292
2453.018922670392,1.0,63930.5,306
2454.018925095537,1.0,63960.5,294
2455.018914937036,1.0,63987.5,351
2456.0189367076955,1.0,64003.5,381
2457.0189412655996,1.0,64008.5,430
2458.0189732245562,1.0,64023.5,477
2459.018983327116,1.0,64037.5,549
2460.0189691918276,1.0,64033.5,599
2461.0189755841175,1.0,64028.5,699
2462.0190002778804,1.0,64013.5,769
2463.0189937844348,1.0,63988.5,918
2464.019001021052,1.0,63955.5,1116
2465.019019750901,1.0,63947.5,1280
2465.21902846924,1.0,63944.5,1461
2465.4190356459303,1.0,63931.5,1453
2465.6190412617243,1.0,63923.5,1560
2465.818997886383,1.0,63909.5,1717
2466.0190003117527,1.0,63901.5,1750
2466.2190011184443,1.0,63892.5,1877
2466.4190477307507,1.0,63885.5,1986
2466.6190452531246,1.0,63889.5,2127
2466.819041098987,1.0,63881.5,2228
2467.019035249048,1.0,63871.5,2331
2467.219027684013,1.0,63855.5,2642
2467.41901838458,1.0,63867.5,2669
2467.6190548401883,1.0,63856.5,2819
2467.819042024899,1.0,63852.5,3231
2468.0190274172733,1.0,63849.5,3488
2468.2190585393337,1.0,63866.5,3732
2468.4190402999257,1.0,63898.5,4066
2468.6190202101907,1.0,63936.5,4626
2468.8190458247395,1.0,63960.5,5080
2469.0190219871906,1.0,63954.5,5732
2469.219043836965,1.0,63957.5,6492
2469.4190637807537,1.0,63950.5,7481
2469.6190341817564,1.0,63943.5,8927
2469.819050244605,1.0,63937.5,10473
2470.019064343359,1.0,63921.5,12905
2470.219076458638,1.0,63914.5,15850
2470.4190389101245,1.0,63914.5,20190
2470.6190469894123,1.0,63916.5,25624
2470.8190530270476,1.0,63913.5,32404
2471.019057003625,1.0,63907.5,39079
2471.219058899737,1.0,63908.5,46203
2471.4190586959653,1.0,63911.5,51213
2471.6190563728896,1.0,63906.5,54490
2471.8190519110826,1.0,63901.5,55903
2472.019045291111,1.0,63900.5,54384
2472.2190842523682,1.0,63893.5,52537
2472.4190732686257,1.0,63896.5,50246
2472.619060068384,1.0,63892.5,48175
2472.819092423668,1.0,63881.5,47355
2473.0190747429383,1.0,63890.5,47621
2473.2190547873242,1.0,63893.5,48537
2473.4190803614833,1.0,63895.5,48724
2473.6191036435757,1.0,63895.5,47856
2473.819076768213,1.0,63888.5,46008
2474.019095396828,1.0,63883.5,43875
2474.21906380723,1.0,63877.5,40977
2474.419077704384,1.0,63882.5,38488
2474.6190892119944,1.0,63881.5,36692
2474.819098310549,1.0,63891.5,35339
2475.019104980529,1.0,63887.5,33895
2475.2191092024095,1.0,63884.5,33056
2475.4191109566614,1.0,63889.5,32766
2475.6191102237485,1.0,63893.5,31951
2475.8191069841305,1.0,63895.5,32273
2476.019101218259,1.0,63888.5,32242
2476.219092906582,1.0,63883.5,32419
2476.419082029539,1.0,63872.5,33133
2476.6191165659448,1.0,63868.5,33996
2476.819100510368,1.0,63864.5,35383
2477.0191298508876,1.0,63869.5,36614
2477.2191085384734,1.0,63868.5,37687
2477.4191326047826,1.0,63865.5,39111
2477.619105957183,1.0,63862.5,40404
2477.8191246709125,1.0,63870.5,40890
2478.019092609732,1.0,63877.5,41028
2478.219105892467,1.0,63879.5,41566
2478.4191164357335,1.0,63874.5,40884
2478.6191242199125,1.0,63873.5,40748
2478.8191292253773,1.0,63876.5,39697
2479.0191314324957,1.0,63875.5,39054
2479.21913082163,1.0,63875.5,38707
2479.4191273731362,1.0,63885.5,38220
2479.6191210673633,1.0,63889.5,37295
2479.8191118846594,1.0,63896.5,37179
2480.0191479890664,1.0,63899.5,36809
2480.2191330044134,1.0,63898.5,36403
2480.419115083828,1.0,63905.5,35799
2480.619142424061,1.0,63910.5,35535
2480.8191185834776,1.0,63915.5,35586
2481.0191399861596,1.0,63922.5,35519
2481.2191583959825,1.0,63917.5,35662
2481.419125533173,1.0,63918.5,36069
2481.619137887261,1.0,63912.5,35756
2481.8191471893733,1.0,63910.5,36152
2482.0191534197925,1.0,63909.5,36041
2482.219156558797,1.0,63911.5,36503
2482.4191565866563,1.0,63905.5,36236
2482.6191534836385,1.0,63909.5,37083
2482.8191472300023,1.0,63908.5,37031
2483.0191378060017,1.0,63903.5,36890
2483.2191735501956,1.0,63897.5,37749
2483.419157737125,1.0,63882.5,37265
2483.6191386944192,1.0,63874.5,37711
2483.8191647933763,1.0,63864.5,37177
2484.0191392430083,1.0,63852.5,37336
2484.2191588165897,1.0,63858.5,37323
2484.419175103271,1.0,63864.5,37013
2484.6191880832607,1.0,63884.5,36912
2484.8191492910864,1.0,63912.5,37341
2485.019155587377,1.0,63936.5,37017
2485.519174739559,1.0,63930.5,36367
2486.019184692272,1.0,63935.5,36722
2486.5191851561435,1.0,63928.5,36492
2487.019175841578,1.0,63908.5,36209
2487.5192050519704,1.0,63897.5,35411
2488.0191753382096,1.0,63885.5,35333
2488.519183623802,1.0,63876.5,34494
2489.019181025086,1.0,63862.5,34361
2489.519215953954,1.0,63857.5,34566
2490.01919074173,1.0,63825.5,33778
2490.5192025297997,1.0,63798.5,33728
2491.019202324279,1.0,63776.5,33688
2491.5192386456315,1.0,63759.5,33679
2492.0192136054784,1.0,63729.5,33695
2492.519224563221,1.0,63704.5,34036
2493.0192224146876,1.0,63681.5,34099
2493.51925578898,1.0,63653.5,34376
2494.0192265778837,1.0,63637.5,34406
2494.5192323589536,1.0,63630.5,34454
2495.019223917662,1.0,63602.5,34509
2495.5192499918176,1.0,63583.5,34546
2496.0192613116983,1.0,63559.5,34158
2496.5192575836304,1.0,63537.5,34576
2497.019238513726,1.0,63524.5,34371
2497.5192529485694,1.0,63504.5,34322
2498.0192515079825,1.0,63478.5,34085
2498.5192830929727,1.0,63455.5,33957
2499.0192982681133,1.0,63442.5,33960
2499.5192967384555,1.0,63439.5,33682
2500.0192782088316,1.0,63422.5,33461
2500.5192916891315,1.0,63405.5,33845
2501.0192876333713,1.0,63388.5,33519
2501.519315105914,1.0,63360.5,33513
2502.019324505479,1.0,63325.5,33310
2502.51931553584,1.0,63319.5,33056
2503.019287900561,1.0,63315.5,33415
2503.519290772984,1.0,63292.5,32965
2504.0193239386485,1.0,63278.5,32964
2504.5193376579527,1.0,63247.5,32903
2505.019331633615,1.0,63208.5,33085
2505.5193055681393,1.0,63170.5,32881
2506.019308771211,1.0,63147.5,32803
2507.0193524586066,1.0,63085.5,33125
2508.019361370094,1.0,63042.5,33035
2509.0193332814697,1.0,63003.5,32799
2510.019365620088,1.0,62963.5,33132
2511.0193567203705,1.0,62922.5,32843
2512.0193542857633,1.0,62880.5,33075
2513.0194062367327,1.0,62823.5,33304
2514.019410567591,1.0,62789.5,33252
2515.019415137243,1.0,62750.5,33381
2516.019417863776,1.0,62725.5,33238
2517.019416662048,1.0,62678.5,33248
2518.019409443688,1.0,62687.5,33395
2519.019444440684,1.0,62681.5,33483
2520.0194189662548,1.0,62662.5,33577
2521.019431624774,1.0,62687.5,33418
2522.0194299914447,1.0,62718.5,33484
2523.019462506374,1.0,62771.5,33568
2524.019476627941,1.0,62776.5,33503
2525.0194702453373,1.0,62762.5,33651
2526.019491954976,1.0,62741.5,33770
2527.0194890398593,1.0,62759.5,33692
2528.0195102007183,1.0,62761.5,33793
2529.01950260358,1.0,62761.5,33597
2530.01951505357,1.0,62775.5,33964
2531.0195455869516,1.0,62785.5,34071
2532.019541194194,1.0,62773.5,33799
2533.019550837191,1.0,62750.5,33965
2534.0195213892825,1.0,62773.5,33791
2535.0195531260056,1.0,62758.5,33746
2536.0195417054324,1.0,62748.5,33842
2537.0195876188172,1.0,62752.5,33835
2538.0195862960986,1.0,62768.5,33831
2539.0195870132716,1.0,62740.5,34305
2540.0195877787005,1.0,62720.5,33618
2541.0195865976743,1.0,62699.5,33892
2542.019633070259,1.0,62707.5,33924
2543.019622055488,1.0,62704.5,33830
2544.019603091689,1.0,62670.5,33294
2545.0196259365985,1.0,62656.5,33516
2546.019636926724,1.0,62644.5,33305
2547.0196340489756,1.0,62618.5,33568
2548.0196672189895,1.0,62562.5,33041
2549.0196825971884,1.0,62559.5,33384
